   indexX       indexY         intexZ      phi   
+8      +20     +32     -1.47605e-17     +10.8945
+8      +21     +32     +2.76193e-18     +11.3794
+8      +22     +32     -2.61350e-18     +11.8435
+8      +23     +32     +2.09296e-18     +12.2825
+8      +24     +32     +2.21253e-18     +12.6919
+8      +25     +32     -3.48913e-19     +13.0671
+8      +26     +32     +4.17150e-18     +13.4036
+8      +27     +32     -1.24228e-17     +13.6971
+8      +28     +32     +4.07203e-18     +13.9434
+8      +29     +32     +7.73072e-18     +14.1390
+8      +30     +32     +5.10228e-19     +14.2809
+8      +31     +32     -4.22458e-18     +14.3670
+8      +32     +32     -2.58484e-17     +14.3958
+8      +33     +32     -4.22458e-18     +14.3670
+8      +34     +32     +1.21475e-18     +14.2809
+8      +35     +32     +1.64407e-18     +14.1390
+8      +36     +32     +1.38277e-18     +13.9434
+8      +37     +32     -1.18074e-18     +13.6971
+8      +38     +32     +2.75214e-18     +13.4036
+8      +39     +32     -1.28485e-18     +13.0671
+8      +40     +32     +6.64636e-18     +12.6919
+8      +41     +32     +5.92689e-19     +12.2825
+8      +42     +32     +7.50911e-19     +11.8435
+8      +43     +32     +2.05740e-18     +11.3794
+8      +44     +32     -1.12039e-17     +10.8945
+8      +45     +32     +5.76171e-18     +10.3929
+8      +46     +32     -2.20609e-18     +9.87814
+8      +47     +32     -3.69889e-18     +9.35367
+8      +48     +32     +4.97756e-18     +8.82242
+8      +49     +32     +1.48739e-18     +8.28693
+8      +50     +32     +1.06297e-18     +7.74938
+8      +51     +32     -6.02120e-18     +7.21156
+8      +52     +32     -9.96245e-18     +6.67491
+8      +53     +32     +4.04227e-18     +6.14055
+8      +54     +32     -7.01383e-18     +5.60932
+8      +55     +32     +8.85580e-18     +5.08177
+8      +56     +32     +2.36122e-18     +4.55824
+8      +57     +32     -3.41943e-18     +4.03884
+8      +58     +32     +3.49287e-18     +3.52353
+8      +59     +32     -1.93700e-18     +3.01210
+8      +60     +32     +7.79031e-18     +2.50421
+8      +61     +32     -2.08504e-19     +1.99943
+8      +62     +32     +1.18570e-19     +1.49723
+8      +63     +32     -4.67069e-18     +0.997019
+9      +1     +32     -4.26372e-18     +1.10936
+9      +2     +32     -1.62191e-18     +1.66613
+9      +3     +32     -1.88552e-18     +2.22536
+9      +4     +32     -1.88423e-18     +2.78781
+9      +5     +32     -2.45959e-18     +3.35413
+9      +6     +32     +2.20963e-18     +3.92491
+9      +7     +32     -8.34764e-18     +4.50062
+9      +8     +32     +6.00548e-19     +5.08158
+9      +9     +32     +2.42036e-18     +5.66796
+9      +10     +32     -7.42768e-18     +6.25972
+9      +11     +32     +4.33719e-18     +6.85660
+9      +12     +32     +4.67193e-19     +7.45807
+9      +13     +32     -7.56503e-18     +8.06331
+9      +14     +32     +9.31037e-19     +8.67113
+9      +15     +32     +4.51242e-18     +9.28000
+9      +16     +32     +3.79888e-18     +9.88796
+9      +17     +32     -3.79218e-18     +10.4926
+9      +18     +32     +4.55030e-18     +11.0911
+9      +19     +32     +2.75523e-18     +11.6800
+9      +20     +32     -5.23215e-18     +12.2555
+9      +21     +32     +4.14624e-18     +12.8132
+9      +22     +32     -9.26708e-18     +13.3485
+9      +23     +32     +5.08012e-18     +13.8562
+9      +24     +32     -4.54154e-18     +14.3309
+9      +25     +32     +5.10176e-18     +14.7670
+9      +26     +32     +9.38510e-19     +15.1591
+9      +27     +32     +4.75027e-18     +15.5016
+9      +28     +32     -5.51458e-19     +15.7897
+9      +29     +32     -4.82809e-18     +16.0188
+9      +30     +32     +1.20795e-17     +16.1852
+9      +31     +32     -9.38768e-18     +16.2863
+9      +32     +32     -6.12593e-17     +16.3201
