   posx(m)        px/pz(rad)         posy(m)       py/pz(rad)         posz(m)           pz/pz(rad)   
-0.0025219486       +0.072388969       -3.1987950e-05       -0.0084690448       +0.00095887735       +0.00069669499       
+0.00099942080       -0.054416255       -0.0014804285       +0.057563625       -0.0035292436       -0.00052614931       
+0.00073831358       -0.0011571052       +0.0017288183       -0.042803273       -0.0016155479       -0.00039328563       
-0.0016858157       +0.065121708       -0.00023736107       +0.031069080       -0.0022609768       -0.0012772067       
-0.00011277934       -0.012858655       -0.0015711229       +0.071814136       -0.00038464499       +0.0023376506       
+0.0019496591       -0.063597880       +0.0016504684       -0.041765507       -0.00012664985       +0.0016031467       
+0.00043272256       -0.033173037       -0.0021367232       +0.070757020       -0.0021187790       +0.00070849739       
-0.00059483708       -0.0019534244       -0.00088173641       +0.051826622       -0.0013670588       +1.4280237e-05       
-0.0020117716       +0.053181296       -0.00018981033       -0.014566530       +0.00069032255       -0.0015491518       
-0.0011150405       +0.0096435084       +0.00032183417       -0.028475526       -0.00041606948       -0.00065907914       
-0.00011862073       -0.026452718       -0.00053153734       +0.032162547       -0.0010241756       -0.0015009995       
+0.00019126123       -0.0023342940       +0.0015902613       -0.022205402       +0.0035969601       -0.0024633443       
-0.00089924921       +0.0039085509       -0.00083232326       +0.045070949       -0.0031778022       -0.0011087133       
+0.0011202635       -0.014480682       -2.4289000e-06       -0.023765469       +0.00089958404       -0.0016232897       
+0.0012119690       -0.045675035       -0.0022952085       +0.074441343       +0.0018623776       +0.0014190130       
-0.0019279390       +0.081326393       -0.00087023190       +0.029430925       -0.0017975441       -0.00063629941       
+0.0023417095       -0.065186561       -9.3949872e-05       +0.017536292       -0.00058179424       -0.0010188788       
-0.00099854875       +0.015545682       +0.0020825539       -0.072744898       +0.0020247943       +0.0010484620       
+0.00041259241       -0.013067597       -0.0026317160       +0.079523012       +0.0016467861       +0.0023440222       
-0.00037492489       +0.029835527       +0.00095863675       -0.0036051377       +0.0034381925       -0.0016662645       
-0.0018638983       +0.053250900       +0.0016533189       -0.063164612       +0.0033024456       -0.00031241078       
-0.0011616617       +0.034757889       +0.0021303828       -0.052156856       +0.0036889110       -0.0017181054       
+0.00048019294       -0.018662216       +8.4421863e-05       -0.036520410       -0.0031848780       -0.00096620949       
-0.0017253487       +0.072739747       +0.0011981802       -0.047711282       +0.0012052834       +0.00085212009       
+0.0017631837       -0.029971498       +0.00026357575       -0.014111212       -2.3182614e-05       -0.0019786846       
+8.4318688e-05       +0.021250620       +0.00033265402       +0.014318707       -0.0034922392       +0.0018081520       
-0.00019657359       +0.0075173627       -0.00022624090       +0.041485402       -0.0014829302       -0.0024308671       
+0.0020371628       -0.049703245       +0.0011121115       -0.044752383       +0.0027926559       -0.00057887647       
+0.0022385512       -0.059814662       +0.00098947713       -0.040437024       -0.0015735984       -6.0918649e-05       
