  position(cm)    EK(MeV)  xrms size(cm)   yrms size(cm)   zrms size(cm)   zrms size(deg)   pxrms(mrad)   pyrms(mrad)   pzrms(mrad)   Nemitx(cm*mrad)  Nemity(cm*mrad)  Nemitz(cm*rad)  Nemitz(KeV*ns)    betax(cm/rad)  betay(cm*rad)  betaz(cm*rad)  alphax         alphay         alphaz         transm         MBtransm     
        1.51882      0.0350004       0.078181      0.0768714       0.218973        98.9418        41.3139        43.3347        1.90612       0.199866       0.200634      0.0280132       0.886028        2.64227        2.54472        147.888       0.974476        1.02854      -0.810701          10000          10000
        1.53476      0.0350004      0.0777138       0.076388       0.218992        98.9506        41.7027        42.8727        1.91788       0.199758       0.200583      0.0280404       0.886888        2.61222        2.51347        147.771       0.982318       0.995005      -0.821472          10000          10000
        1.55069      0.0350004      0.0772397      0.0759187       0.219012        98.9595        42.1324        42.3855        1.92982       0.199674       0.200558      0.0280682       0.887769        2.58154        2.48301        147.652       0.991435        0.96007       -0.83228          10000          10000
        1.56663      0.0350004      0.0767579      0.0754642       0.219032        98.9685        42.5966        41.8828        1.94193       0.199614       0.200555      0.0280967        0.88867        2.55021        2.45341         147.53        1.00144       0.924164      -0.843127          10000          10000
        1.58256      0.0350004       0.076268       0.075025       0.219052        98.9776        43.0897        41.3722        1.95422       0.199593       0.200583      0.0281259       0.889592        2.51805        2.42461        147.405        1.01188       0.887514      -0.854009          10000          10000
         1.5985      0.0350004      0.0757698      0.0746014       0.219072        98.9869        43.6015        40.8648        1.96669       0.199617       0.200637      0.0281557       0.890536        2.48497        2.39668        147.277        1.02216       0.850615      -0.864928          10000          10000
        1.61443      0.0350004      0.0752634      0.0741937       0.219093        98.9963        44.1169        40.3706        1.97933       0.199669       0.200711      0.0281862         0.8915        2.45124        2.36969        147.146        1.03174       0.813983       -0.87588          10000          10000
        1.63037      0.0350004      0.0747491      0.0738016       0.219114        99.0058        44.6291        39.8984        1.99215       0.199746       0.200806      0.0282174       0.892487        2.41693        2.34361        147.013        1.04035       0.777996      -0.886865          10000          10000
         1.6463      0.0350004      0.0742268      0.0734253       0.219135        99.0154        45.1489         39.441        2.00514       0.199852       0.200911      0.0282493       0.893495        2.38201        2.31858        146.876        1.04844       0.742379      -0.897883          10000          10000
        1.66224      0.0350004      0.0736968      0.0730646       0.219157        99.0252        45.6625        39.0091         2.0183        0.19998       0.201041      0.0282818       0.894526        2.34663        2.29438        146.736        1.05548       0.707488      -0.908931          10000          10000
        1.67817      0.0350004      0.0731599      0.0727191       0.219179        99.0351         46.156        38.6115        2.03165       0.200133       0.201189      0.0283151       0.895578         2.3108        2.27106        146.594        1.06084       0.673871       -0.92001          10000          10000
         1.6941      0.0350004      0.0726167       0.072388       0.219201        99.0451        46.6182        38.2556        2.04517       0.200313        0.20136      0.0283491       0.896654        2.27458        2.24853        146.448        1.06408       0.641926      -0.931117          10000          10000
        1.71004      0.0350004      0.0720686      0.0720705       0.219224        99.0553        47.0285        37.9493        2.05886       0.200498       0.201542      0.0283838       0.897751        2.23832        2.22684          146.3        1.06462        0.61229      -0.942251          10000          10000
        1.72597      0.0350004       0.071517      0.0717653       0.219246        99.0656        47.3751        37.6936        2.07272       0.200671       0.201715      0.0284192       0.898871        2.20229        2.20614        146.148        1.06221       0.585385      -0.953412          10000          10000
        1.74191      0.0350004      0.0709637      0.0714709        0.21927         99.076        47.6443        37.4915        2.08676       0.200815       0.201864      0.0284554       0.900014         2.1668        2.18646        145.994        1.05658       0.561689      -0.964598          10000          10000
        1.75784      0.0350004      0.0704104      0.0711856       0.219293        99.0866        47.8246        37.3457        2.10097        0.20092       0.201977      0.0284923       0.901181        2.13204        2.16783        145.837        1.04743       0.541706      -0.975807          10000          10000
        1.77378      0.0350004      0.0698595      0.0709075       0.219317        99.0973        47.9054        37.2566        2.11536       0.200978       0.202039      0.0285299       0.902372        2.09821        2.15028        145.676        1.03451       0.525807      -0.987038          10000          10000
        1.78971      0.0350004      0.0693132      0.0706343       0.219341        99.1081          47.88        37.2259        2.12992       0.200984       0.202046      0.0285683       0.903587        2.06546        2.13367        145.512        1.01768       0.514279       -0.99829          10000          10000
        1.80565      0.0350004      0.0687739      0.0703638       0.219365        99.1191        47.7438        37.2552        2.14465        0.20094       0.201996      0.0286075       0.904826         2.0339        2.11789        145.346       0.996814       0.507375       -1.00956          10000          10000
        1.82158      0.0350004      0.0682442      0.0700935       0.219389        99.1302         47.496         37.347        2.15955       0.200851       0.201889      0.0286474       0.906089        2.00358        2.10277        145.176       0.971827       0.505246       -1.02085          10000          10000
        1.83752      0.0350004      0.0677267      0.0698209       0.219414        99.1415        47.1391        37.5047        2.17462       0.200727       0.201736      0.0286882       0.907377        1.97453        2.08804        145.003       0.942724       0.507923       -1.03215          10000          10000
        1.85345      0.0350004      0.0672239      0.0695435        0.21944        99.1528        46.6783        37.7331        2.18986       0.200582       0.201544      0.0287297       0.908689        1.94674        2.07345        144.827       0.909534       0.515435       -1.04347          10000          10000
        1.86939      0.0350004      0.0667384      0.0692587       0.219465        99.1644        46.1236        38.0375        2.20527       0.200431       0.201339      0.0287719       0.910026        1.92017        2.05861        144.649       0.872384       0.527513       -1.05481          10000          10000
        1.88532      0.0350004      0.0662726      0.0689641       0.219491         99.176        45.4863        38.4224        2.22085       0.200287       0.201136       0.028815       0.911388        1.89483         2.0432        144.467        0.83147       0.543898       -1.06616          10000          10000
        1.90126      0.0350004      0.0658288      0.0686575       0.219517        99.1878        44.7833        38.8911        2.23659       0.200162       0.200937      0.0288588       0.912774        1.87071        2.02708        144.282       0.787155       0.564326       -1.07751          10000          10000
        1.91719      0.0350004      0.0654091      0.0683367       0.219543        99.1998        44.0292        39.4481         2.2525       0.200061        0.20077      0.0289034       0.914186        1.84786        2.00985        144.095       0.739727       0.588292       -1.08888          10000          10000
        1.93312      0.0350004      0.0650154      0.0679998        0.21957        99.2119        43.2433         40.093        2.26857       0.199988        0.20065      0.0289489       0.915623        1.82636        1.99128        143.904        0.68966       0.615174       -1.10026          10000          10000
        1.94906      0.0350004      0.0646494      0.0676452       0.219597        99.2241        42.4472        40.8217        2.28481       0.199958       0.200572      0.0289951       0.917086        1.80613        1.97134         143.71       0.637395       0.644401       -1.11164          10000          10000
        1.96499      0.0350004      0.0643122      0.0672719       0.219625        99.2365        41.6619        41.6254        2.30121       0.199965       0.200548      0.0290422       0.918573        1.78728        1.94988        143.513       0.583554       0.675043       -1.12302          10000          10000
        1.98093      0.0350004       0.064005      0.0668789       0.219652         99.249        40.9055        42.4938        2.31777       0.199997       0.200564        0.02909       0.920087        1.76996        1.92702        143.314        0.52874       0.706505       -1.13441          10000          10000
